Date,xiv,vxx,ratio,ma_60,ma_150
2016-04-04,25.91,70.279999,0.900208986416,0.954125944193,0.960530893029
2016-04-05,24.42,74.32,0.916251246261,0.952440875432,0.959600345781
2016-04-06,26.059999,69.519997,0.897662337662,0.950251397851,0.958635187037
2016-04-07,23.629999,75.839996,0.915089762251,0.948700339194,0.957548247421
2016-04-08,24.219999,73.839996,0.904244817374,0.947724077603,0.956678087097
2016-04-11,23.85,75.040001,0.910800385728,0.946190412262,0.955884261576
2016-04-12,24.66,72.480003,0.901203610832,0.944931241779,0.954763396759
2016-04-13,25.9,68.839996,0.89014956163,0.942661302247,0.953852536656
2016-04-14,25.959999,68.599998,0.888659793814,0.940285611343,0.953041144191
2016-04-15,26.299999,67.720001,0.889119170984,0.937809488074,0.952048330138
2016-04-18,27.99,63.48,0.880533333333,0.935711619866,0.951302817204
2016-04-19,27.719999,64.120003,0.885960193653,0.93401437384,0.950699123728
2016-04-20,27.57,64.440002,0.885805763074,0.932242112327,0.949856100853
2016-04-21,27.07,65.639999,0.889004149378,0.931111162584,0.948881234372
2016-04-22,27.74,64.0,0.874868559411,0.929411533451,0.94814030835
2016-04-25,27.34,64.760002,0.891765924392,0.928007198763,0.947331411602
2016-04-26,28.02,63.439999,0.885400313972,0.926214060555,0.946646742451
2016-04-27,28.809999,61.52,0.882167280379,0.924554969286,0.94582085679
2016-04-28,27.08,65.120003,0.900253164557,0.923103403514,0.94512955055
2016-04-29,26.18,67.32,0.909763313609,0.921909667426,0.944453259997
2016-05-02,27.879999,63.200001,0.897073662967,0.920552651415,0.943526461629
2016-05-03,26.540001,66.080002,0.90718124084,0.91937189929,0.942631317749
2016-05-04,26.200001,66.919998,0.910886319846,0.918083197216,0.94175944877
2016-05-05,26.25,66.839996,0.908305328853,0.916461144066,0.940965502561
2016-05-06,27.43,63.880001,0.895588235294,0.914677170627,0.940204452378
2016-05-09,28.059999,62.439999,0.894449950446,0.91299580086,0.939630937225
2016-05-10,29.459999,59.360001,0.879672299027,0.911441625033,0.939028843502
2016-05-11,28.4,61.400002,0.896071606166,0.910325580631,0.938478024413
2016-05-12,28.68,60.599998,0.891959798995,0.909345796094,0.937975723088
2016-05-13,27.66,62.68,0.901234567901,0.908558250121,0.937630379853
2016-05-16,28.93,59.919998,0.890790135883,0.907643657405,0.937119987907
2016-05-17,27.67,62.560001,0.902988731014,0.907195261703,0.936751853079
2016-05-18,27.74,62.32,0.905715681485,0.906713680079,0.936312864415
2016-05-19,27.66,62.639999,0.904578313253,0.906026508021,0.935842293095
2016-05-20,28.629999,60.400002,0.888287401575,0.905332173704,0.935241886178
2016-05-23,28.780001,60.119999,0.891891891892,0.90443185755,0.934945772612
2016-05-24,29.98,57.52,0.881775942179,0.90329585059,0.934686821849
2016-05-25,30.5,56.439999,0.878470403353,0.902566400969,0.934309002617
2016-05-26,30.84,55.84,0.874340021119,0.901696874189,0.933918696718
2016-05-27,31.690001,54.360001,0.871260683761,0.900830233603,0.93373757248
2016-05-31,31.75,54.279999,0.873883342091,0.8999406968,0.933497176507
2016-06-01,31.950001,53.880001,0.879873551106,0.899207546297,0.933293499506
2016-06-02,32.82,52.360001,0.872136387853,0.898123256696,0.932962755642
2016-06-03,33.0,52.080002,0.867438190426,0.896981401849,0.932682234373
2016-06-06,33.419998,51.439999,0.871224165342,0.895869256295,0.932410859719
2016-06-07,33.43,51.560001,0.873883342091,0.895199236879,0.932053952967
2016-06-08,33.16,51.84,0.881827731092,0.89452757814,0.93187788619
2016-06-09,32.560001,52.799999,0.886840757808,0.893900956305,0.93172102468
2016-06-10,29.59,57.560001,0.913211186114,0.893866065969,0.931600214886
2016-06-13,25.15,66.080002,0.953356582389,0.894509082467,0.931860785121
2016-06-14,25.690001,64.639999,0.969938107869,0.895566864548,0.932245840358
2016-06-15,25.950001,64.0,0.977150537634,0.896810805012,0.932470554319
