Date,VXV
28/05/2015,15.01
27/05/2015,14.99
26/05/2015,15.48
22/05/2015,14.48
21/05/2015,14.61
20/05/2015,15.15
19/05/2015,15.28
18/05/2015,15.23
15/05/2015,15.57
14/05/2015,15.91
13/05/2015,16.29
12/05/2015,16.4
11/05/2015,16.1
08/05/2015,15.56
07/05/2015,16.74
06/05/2015,16.72
05/05/2015,16.32
04/05/2015,15.43
01/05/2015,15.38
30/04/2015,16.48
29/04/2015,15.97
28/04/2015,15.31
27/04/2015,15.93
24/04/2015,15.26
23/04/2015,15.17
22/04/2015,15.46
21/04/2015,15.52
20/04/2015,15.58
17/04/2015,16.14
16/04/2015,15.33
15/04/2015,15.69
14/04/2015,15.85
13/04/2015,16.32
10/04/2015,15.46
09/04/2015,16.02
08/04/2015,16.4
07/04/2015,16.8
06/04/2015,16.82
02/04/2015,17.22
01/04/2015,17.34
31/03/2015,17.54
30/03/2015,16.92
27/03/2015,17.39
26/03/2015,17.57
25/03/2015,17.57
24/03/2015,16.59
23/03/2015,16.53
20/03/2015,16.71
19/03/2015,16.97
18/03/2015,16.43
17/03/2015,17.48
16/03/2015,17.4
13/03/2015,17.89
12/03/2015,17.39
11/03/2015,18.53
10/03/2015,18.26
09/03/2015,17.31
06/03/2015,17.51
05/03/2015,16.64
04/03/2015,16.91
03/03/2015,16.78
02/03/2015,16.46
27/02/2015,16.89
26/02/2015,16.85
25/02/2015,16.87
24/02/2015,16.71
23/02/2015,17.54
20/02/2015,17.29
19/02/2015,18.01
18/02/2015,18.66
17/02/2015,18.38
13/02/2015,18.13
12/02/2015,18.34
11/02/2015,19.71
10/02/2015,19.73
09/02/2015,20.67
06/02/2015,19.88
05/02/2015,19.27
04/02/2015,20.43
03/02/2015,19.49
02/02/2015,20.91
30/01/2015,21.82
29/01/2015,20
28/01/2015,21.44
27/01/2015,19.11
26/01/2015,18.03
23/01/2015,19
22/01/2015,18.6
21/01/2015,20.04
20/01/2015,20.87
16/01/2015,21.15
15/01/2015,22.11
14/01/2015,20.93
13/01/2015,21.27
12/01/2015,20.48
09/01/2015,19.32
08/01/2015,18.66
07/01/2015,20.08
06/01/2015,21.42
05/01/2015,20.79
02/01/2015,19.46
31/12/2014,19.74
30/12/2014,18.02
29/12/2014,17.27
26/12/2014,17.16
24/12/2014,17.26
23/12/2014,17.94
22/12/2014,17.59
19/12/2014,18.47
18/12/2014,18.48
17/12/2014,20.43
16/12/2014,23.09
15/12/2014,21.06
12/12/2014,21
11/12/2014,20.72
10/12/2014,19.14
09/12/2014,16.89
08/12/2014,16.78
05/12/2014,15.55
04/12/2014,15.64
03/12/2014,15.55
02/12/2014,15.96
01/12/2014,16.74
28/11/2014,15.93
26/11/2014,15.32
25/11/2014,15.41
24/11/2014,15.55
21/11/2014,15.79
20/11/2014,16.01
19/11/2014,15.97
18/11/2014,15.7
17/11/2014,15.93
14/11/2014,15.96
13/11/2014,15.89
12/11/2014,15.74
11/11/2014,15.36
10/11/2014,15.04
07/11/2014,15.83
06/11/2014,16.26
05/11/2014,16.57
04/11/2014,16.93
03/11/2014,16.81
31/10/2014,16.51
30/10/2014,16.74
29/10/2014,16.89
28/10/2014,16.46
27/10/2014,17.86
24/10/2014,17.92
23/10/2014,18.22
22/10/2014,19.06
21/10/2014,17.87
20/10/2014,19.67
17/10/2014,21.25
16/10/2014,22.85
15/10/2014,23.82
14/10/2014,21.37
13/10/2014,22.12
10/10/2014,19.93
09/10/2014,18.09
08/10/2014,16.28
07/10/2014,17.68
06/10/2014,16.55
03/10/2014,16.04
02/10/2014,17.24
01/10/2014,17.62
30/09/2014,17.08
29/09/2014,16.82
26/09/2014,16.02
25/09/2014,16.59
24/09/2014,15.22
23/09/2014,16.07
22/09/2014,15.26
19/09/2014,14.38
18/09/2014,14.23
17/09/2014,14.62
