Date,Open,High,Low,Close,Adj Close,Volume
16/07/2015,8.6875,8.975,8.655,8.9725,8.9725,74800
17/07/2015,9.0075,9.045,8.8475,8.8975,8.8975,27100
20/07/2015,9.0325,9.25,9.01,9.07,9.07,33400
21/07/2015,9.07,9.1375,8.98,9.1325,9.1325,40300
22/07/2015,9.025,9.2575,8.9025,9.21,9.21,51000
23/07/2015,9.26,9.3125,8.955,9.0725,9.0725,32400
24/07/2015,9.05,9.15,8.66,8.755,8.755,45500
27/07/2015,8.435,8.54,8.12,8.2875,8.2875,57800
28/07/2015,8.56,8.9625,8.36,8.9175,8.9175,61300
29/07/2015,8.9325,9.115,8.92,9.07,9.07,38200
30/07/2015,9.005,9.125,8.8325,9.1125,9.1125,38000
31/07/2015,9.16,9.2475,9.0275,9.085,9.085,22400
04/08/2015,9.2375,9.275,9.145,9.1675,9.1675,25400
05/08/2015,9.2875,9.385,9.25,9.3,9.3,18500
06/08/2015,9.2925,9.2925,8.7875,8.975,8.975,37700
07/08/2015,8.9525,9.095,8.795,9.035,9.035,33200
10/08/2015,9.2725,9.3875,9.2725,9.35,9.35,44300
11/08/2015,9.0075,9.1375,8.7875,8.955,8.955,74900
12/08/2015,8.45,9.015,8.3225,8.935,8.935,343600
13/08/2015,9.03,9.17,8.865,9.055,9.055,197600
14/08/2015,9.0775,9.14,9,9.055,9.055,21200
17/08/2015,9.0025,9.1975,9.0025,9.19,9.19,60400
18/08/2015,9.1225,9.2,8.975,9.085,9.085,25700
19/08/2015,8.965,9.15,8.69,8.9225,8.9225,86300
20/08/2015,8.5,8.63,8.0975,8.16,8.16,130500
21/08/2015,7.725,7.9875,6.8025,6.8025,6.8025,386700
24/08/2015,5.2,6.5525,4.4125,5.585,5.585,670500
25/08/2015,6,6.465,4.88,4.935,4.935,820500
26/08/2015,5.375,5.44,4.825,5.4,5.4,544900
27/08/2015,5.595,5.77,4.96,5.275,5.275,468500
28/08/2015,5.135,5.185,4.775,5.02,5.02,358900
31/08/2015,5,5.025,4.79,4.825,4.825,249600
01/09/2015,4.405,4.545,4.03,4.175,4.175,1344000
02/09/2015,4.425,4.61,4.195,4.585,4.585,967000
03/09/2015,4.715,4.935,4.52,4.61,4.61,1081400
04/09/2015,4.38,4.5,4.175,4.3,4.3,443200
08/09/2015,4.51,4.665,4.48,4.62,4.62,348600
09/09/2015,4.865,5,4.5,4.56,4.56,291000
10/09/2015,4.415,4.65,4.385,4.63,4.63,457600
11/09/2015,4.59,4.75,4.545,4.74,4.74,324800
14/09/2015,4.56,4.77,4.56,4.755,4.755,190800
15/09/2015,4.8,5.245,4.785,5.2,5.2,323100
16/09/2015,5.4,5.5,5.235,5.485,5.485,622600
17/09/2015,5.505,6.06,5.4,5.575,5.575,408300
18/09/2015,5.045,5.245,4.8,4.875,4.875,734900
21/09/2015,5,5.205,4.98,5.2,5.2,996000
22/09/2015,4.925,4.995,4.575,4.975,4.975,649400
23/09/2015,4.9,5.025,4.79,4.99,4.99,377700
24/09/2015,4.76,4.875,4.49,4.855,4.855,676600
25/09/2015,5.01,5.045,4.6,4.705,4.705,570200
28/09/2015,4.58,4.6,4.265,4.37,4.37,802700
29/09/2015,4.265,4.54,4.265,4.4,4.4,883100
30/09/2015,4.55,4.61,4.445,4.585,4.585,493800
01/10/2015,4.55,4.625,4.45,4.6,4.6,811400
02/10/2015,4.415,4.875,4.38,4.85,4.85,1133400
05/10/2015,4.95,5.17,4.95,5.12,5.12,924600
06/10/2015,5.14,5.245,5.01,5.075,5.075,615800
07/10/2015,5.14,5.22,5.045,5.195,5.195,554400
08/10/2015,5.19,5.515,5.155,5.45,5.45,599800
09/10/2015,5.465,5.525,5.315,5.43,5.43,342200
13/10/2015,5.605,5.86,5.435,5.455,5.455,558400
14/10/2015,5.405,5.5,5.215,5.335,5.335,845000
15/10/2015,5.425,5.75,5.405,5.705,5.705,687800
16/10/2015,5.765,5.81,5.55,5.77,5.77,895600
19/10/2015,5.75,6.205,5.73,6.205,6.205,968200
20/10/2015,6.11,6.22,5.865,5.94,5.94,799800
21/10/2015,5.545,5.545,5.545,5.545,5.545,0
22/10/2015,5.68,6,5.68,5.975,5.975,514600
23/10/2015,6.12,6.14,5.815,5.91,5.91,615600
26/10/2015,5.845,5.9,5.725,5.745,5.745,285000
27/10/2015,5.665,5.85,5.65,5.82,5.82,233100
28/10/2015,5.88,6.02,5.695,5.995,5.995,399100
29/10/2015,5.9,5.98,5.815,5.92,5.92,142700
30/10/2015,5.91,5.99,5.83,5.84,5.84,411000
02/11/2015,5.855,6.17,5.85,6.125,6.125,528400
