,,,,bench,,,strat
2011-05-03,0.183574884,,2012-05-15,0.459271288,,2012-05-15,0.638643901
2011-05-04,0.176719575,,2012-05-16,0.463675106,,2012-05-16,0.638643901
2011-05-05,0.16764974,,2012-05-17,0.478726482,,2012-05-17,0.638643901
2011-05-06,0.17146966,,2012-05-18,0.486114259,,2012-05-18,0.638643901
2011-05-09,0.176013824,,2012-05-21,0.470078358,,2012-05-21,0.638643901
2011-05-10,0.18408786,,2012-05-22,0.469592021,,2012-05-22,0.638643901
2011-05-11,0.172976365,,2012-05-23,0.467898318,,2012-05-23,0.638643901
2011-05-12,0.177871802,,2012-05-24,0.472844817,,2012-05-24,0.644970431
2011-05-13,0.169804472,,2012-05-25,0.475010449,,2012-05-25,0.644970431
2011-05-16,0.163600081,,2012-05-29,0.463931472,,2012-05-29,0.644970431
2011-05-17,0.16323152,,2012-05-30,0.478266364,,2012-05-30,0.644970431
2011-05-18,0.17203532,,2012-05-31,0.480543029,,2012-05-31,0.644970431
2011-05-19,0.174213261,,2012-06-01,0.505185614,,2012-06-01,0.644970431
2011-05-20,0.166524993,,2012-06-04,0.50507606,,2012-06-04,0.644970431
2011-05-23,0.154599408,,2012-06-05,0.499349209,,2012-06-05,0.644970431
2011-05-24,0.153772028,,2012-06-06,0.476299808,,2012-06-06,0.644970431
2011-05-25,0.156955197,,2012-06-07,0.476406273,,2012-06-07,0.644970431
2011-05-26,0.160908312,,2012-06-08,0.468292109,,2012-06-08,0.644970431
2011-05-27,0.164989232,,2012-06-11,0.480912223,,2012-06-11,0.644970431
2011-05-31,0.175581957,,2012-06-12,0.469261486,,2012-06-12,0.644970431
2011-06-01,0.152797313,,2012-06-13,0.476284737,,2012-06-13,0.644970431
2011-06-02,0.151572477,,2012-06-14,0.465470084,,2012-06-14,0.644970431
2011-06-03,0.141838668,,2012-06-15,0.455132268,,2012-06-15,0.644970431
2011-06-06,0.131078461,,2012-06-18,0.462612885,,2012-06-18,0.653895794
2011-06-07,0.130122054,,2012-06-19,0.494346153,,2012-06-19,0.695444758
2011-06-08,0.125935179,,2012-06-20,0.375679928,,2012-06-20,0.575092176
2011-06-09,0.133312669,,2012-06-21,0.503799775,,2012-06-21,0.680950346
2011-06-10,0.119332824,,2012-06-22,0.459740877,,2012-06-22,0.644066053
2011-06-13,0.12000158,,2012-06-25,0.508180367,,2012-06-25,0.676550688
2011-06-14,0.13261336,,2012-06-26,0.494175381,,2012-06-26,0.667318424
2011-06-15,0.115181514,,2012-06-27,0.516823629,,2012-06-27,0.698951577
2011-06-16,0.11693585,,2012-06-28,0.586558815,,2012-06-28,0.766576964
2011-06-17,0.119980866,,2012-06-29,0.624869123,,2012-06-29,0.82980751
2011-06-20,0.125376057,,2012-07-02,0.642512418,,2012-07-02,0.849910117
2011-06-21,0.138799533,,2012-07-03,0.59943334,,2012-07-03,0.81306315
2011-06-22,0.132331084,,2012-07-05,0.611047047,,2012-07-05,0.819989834
2011-06-23,0.129503098,,2012-07-06,0.63053367,,2012-07-06,0.830043808
2011-06-24,0.11777731,,2012-07-09,0.604406367,,2012-07-09,0.802277672
2011-06-27,0.126961767,,2012-07-10,0.642276877,,2012-07-10,0.832022257
2011-06-28,0.139906122,,2012-07-11,0.632663335,,2012-07-11,0.82239379
2011-06-29,0.148188869,,2012-07-12,0.696194234,,2012-07-12,0.880937592
2011-06-30,0.158308098,,2012-07-13,0.690877864,,2012-07-13,0.892118584
2011-07-01,0.1727178,,2012-07-16,0.729029871,,2012-07-16,0.927956278
2011-07-05,0.171381621,,2012-07-17,0.710850088,,2012-07-17,0.917186168
2011-07-06,0.17238318,,2012-07-18,0.726907819,,2012-07-18,0.939924389
2011-07-07,0.182837026,,2012-07-19,0.670964152,,2012-07-19,0.886697823
2011-07-08,0.17587591,,2012-07-20,0.611274569,,2012-07-20,0.816946579
2011-07-11,0.157785377,,2012-07-23,0.582211649,,2012-07-23,0.778974604
2011-07-12,0.153351864,,2012-07-24,0.591252582,,2012-07-24,0.778974604
2011-07-13,0.156457705,,2012-07-25,0.591566443,,2012-07-25,0.778974604
2011-07-14,0.149741577,,2012-07-26,0.575025469,,2012-07-26,0.778974604
2011-07-15,0.155296002,,2012-07-27,0.535099102,,2012-07-27,0.758128803
2011-07-18,0.147166111,,2012-07-30,0.505940005,,2012-07-30,0.728486346
2011-07-19,0.163474819,,2012-07-31,0.53188186,,2012-07-31,0.750111372
2011-07-20,0.162803987,,2012-08-01,0.557182168,,2012-08-01,0.772511701
2011-07-21,0.176350179,,2012-08-02,0.634635586,,2012-08-02,0.842461449
2011-07-22,0.17725803,,2012-08-03,0.638420775,,2012-08-03,0.865286924
2011-07-25,0.171615017,,2012-08-06,0.606795887,,2012-08-06,0.835991304
2011-07-26,0.167510045,,2012-08-07,0.642464908,,2012-08-07,0.876767085
2011-07-27,0.147201377,,2012-08-08,0.645843719,,2012-08-08,0.880766721
2011-07-28,0.14396741,,2012-08-09,0.663266158,,2012-08-09,0.898602846
2011-07-29,0.137516877,,2012-08-10,0.688386025,,2012-08-10,0.925911154
2011-08-01,0.133384578,,2012-08-13,0.637945138,,2012-08-13,0.874218367
2011-08-02,0.107827913,,2012-08-14,0.638255899,,2012-08-14,0.874400982
2011-08-03,0.112843596,,2012-08-15,0.657108956,,2012-08-15,0.894393679
2011-08-04,0.065023149,,2012-08-16,0.676590384,,2012-08-16,0.920975617
2011-08-05,0.064448232,,2012-08-17,0.675502906,,2012-08-17,0.921760273
2011-08-08,-0.002186232,,2012-08-20,0.648431128,,2012-08-20,0.894667321
2011-08-09,0.045220616,,2012-08-21,0.644586257,,2012-08-21,0.887324914
2011-08-10,0.001068212,,2012-08-22,0.623522762,,2012-08-22,0.866487822
2011-08-11,0.047358234,,2012-08-23,0.671392333,,2012-08-23,0.90628515
2011-08-12,0.052619903,,2012-08-24,0.659267362,,2012-08-24,0.90061491
2011-08-15,0.074404525,,2012-08-27,0.6409557,,2012-08-27,0.881814233
2011-08-16,0.06466598,,2012-08-28,0.636860141,,2012-08-28,0.876910492
2011-08-17,0.065613366,,2012-08-29,0.61539159,,2012-08-29,0.85628629
2011-08-18,0.021019651,,2012-08-30,0.638152669,,2012-08-30,0.871241564
2011-08-19,0.00601067,,2012-08-31,0.638312332,,2012-08-31,0.876474523
2011-08-22,0.006268711,,2012-09-04,0.652264263,,2012-09-04,0.889260495
2011-08-23,0.040553589,,2012-09-05,0.707933124,,2012-09-05,0.943861694
2011-08-24,0.053673562,,2012-09-06,0.718023449,,2012-09-06,0.97438756
2011-08-25,0.038108042,,2012-09-07,0.657063514,,2012-09-07,0.917477599
2011-08-26,0.053229652,,2012-09-10,0.667731207,,2012-09-10,0.921997462
2011-08-29,0.081509653,,2012-09-11,0.690804019,,2012-09-11,0.94820523
2011-08-30,0.083856678,,2012-09-12,0.761326711,,2012-09-12,1.020820614
2011-08-31,0.088778661,,2012-09-13,0.710736987,,2012-09-13,0.986540637
2011-09-01,0.076907228,,2012-09-14,0.711902111,,2012-09-14,0.991664713
2011-09-02,0.05162529,,2012-09-17,0.741254979,,2012-09-17,1.01789289
2011-09-06,0.044189,,2012-09-18,0.744262674,,2012-09-18,1.01962081
2011-09-07,0.072835464,,2012-09-19,0.752995246,,2012-09-19,1.029538935
2011-09-08,0.062223284,,2012-09-20,0.759584826,,2012-09-20,1.035587782
2011-09-09,0.035517791,,2012-09-21,0.773100169,,2012-09-21,1.049027805
2011-09-12,0.042483509,,2012-09-24,0.70057881,,2012-09-24,0.974273793
2011-09-13,0.051603571,,2012-09-25,0.671098771,,2012-09-25,0.934291898
2011-09-14,0.065083376,,2012-09-26,0.768694692,,2012-09-26,1.026151084
2011-09-15,0.082270449,,2012-09-27,0.743896405,,2012-09-27,1.011001778
2011-09-16,0.087977147,,2012-09-28,0.738874381,,2012-09-28,1.001502001
2011-09-19,0.07817456,,2012-10-01,0.756228867,,2012-10-01,1.021507994
2011-09-20,0.076513554,,2012-10-02,0.75719306,,2012-10-02,1.023344474
2011-09-21,0.047123112,,2012-10-03,0.777501782,,2012-10-03,1.047277606
2011-09-22,0.015239991,,2012-10-04,0.783479713,,2012-10-04,1.060429973
2011-09-23,0.021322,,2012-10-05,0.772654076,,2012-10-05,1.049282746
2011-09-26,0.044658146,,2012-10-08,0.732589122,,2012-10-08,1.005761057
2011-09-27,0.055346528,,2012-10-09,0.748149167,,2012-10-09,1.01143016
2011-09-28,0.034655393,,2012-10-10,0.754337197,,2012-10-10,1.01143016
2011-09-29,0.042769622,,2012-10-11,0.754141808,,2012-10-11,1.01143016
2011-09-30,0.017795493,,2012-10-12,0.774166769,,2012-10-12,1.028488984
2011-10-03,-0.010655535,,2012-10-15,0.777439338,,2012-10-15,1.039839475
2011-10-04,0.011832908,,2012-10-16,0.774031939,,2012-10-16,1.04670201
2011-10-05,0.029698542,,2012-10-17,0.770624828,,2012-10-17,1.047411957
2011-10-06,0.048002206,,2012-10-18,0.740503845,,2012-10-18,1.014847245
2011-10-07,0.039838897,,2012-10-19,0.75707515,,2012-10-19,1.014847245
2011-10-10,0.073963882,,2012-10-22,0.756635568,,2012-10-22,1.014847245
2011-10-11,0.074507885,,2012-10-23,0.771079474,,2012-10-23,1.014847245
2011-10-12,0.08430259,,2012-10-24,0.774164857,,2012-10-24,1.014847245
2011-10-13,0.081328917,,2012-10-25,0.771169314,,2012-10-25,1.014847245
2011-10-14,0.098709175,,2012-10-26,0.771898296,,2012-10-26,1.014847245
2011-10-17,0.079339292,,2012-10-31,0.771742416,,2012-10-31,1.014847245
2011-10-18,0.099758009,,2012-11-01,0.760815941,,2012-11-01,1.014847245
2011-10-19,0.087108871,,2012-11-02,0.770195395,,2012-11-02,1.014847245
2011-10-20,0.09166305,,2012-11-05,0.768031586,,2012-11-05,1.014847245
2011-10-21,0.110471815,,2012-11-06,0.760178401,,2012-11-06,1.014847245
2011-10-24,0.123344774,,2012-11-07,0.783883402,,2012-11-07,1.014847245
2011-10-25,0.103300049,,2012-11-08,0.796088244,,2012-11-08,1.014847245
2011-10-26,0.113836602,,2012-11-09,0.794389551,,2012-11-09,1.014847245
2011-10-27,0.14812804,,2012-11-12,0.794259064,,2012-11-12,1.014847245
2011-10-28,0.148517269,,2012-11-13,0.798244484,,2012-11-13,1.014847245
2011-10-31,0.123779766,,2012-11-14,0.81209652,,2012-11-14,1.014847245
2011-11-01,0.095837519,,2012-11-15,0.813690065,,2012-11-15,1.014847245
2011-11-02,0.111942187,,2012-11-16,0.808850115,,2012-11-16,1.014847245
2011-11-03,0.130723994,,2012-11-19,0.788988061,,2012-11-19,1.014847245
2011-11-04,0.124443977,,2012-11-20,0.785019773,,2012-11-20,1.011542343
2011-11-07,0.130739721,,2012-11-21,0.782699592,,2012-11-21,1.011542343
2011-11-08,0.14247536,,2012-11-23,0.769673277,,2012-11-23,1.011542343
2011-11-09,0.105780217,,2012-11-26,0.771702859,,2012-11-26,1.011542343
2011-11-10,0.114404393,,2012-11-27,0.776929446,,2012-11-27,1.011542343
2011-11-11,0.133884934,,2012-11-28,0.769073417,,2012-11-28,1.011542343
2011-11-14,0.124334792,,2012-11-29,0.75503408,,2012-11-29,1.001772648
2011-11-15,0.129151956,,2012-11-30,0.754871572,,2012-11-30,1.001772648
2011-11-16,0.112535755,,2012-12-03,0.759616797,,2012-12-03,1.001772648
2011-11-17,0.095735803,,2012-12-04,0.76132661,,2012-12-04,1.001772648
2011-11-18,0.095341124,,2012-12-05,0.759741748,,2012-12-05,1.001772648
2011-11-21,0.076692628,,2012-12-06,0.756435157,,2012-12-06,1.001772648
2011-11-22,0.072551787,,2012-12-07,0.753514238,,2012-12-07,1.001772648
2011-11-23,0.050456572,,2012-12-10,0.753175677,,2012-12-10,1.001772648
2011-11-25,0.047771065,,2012-12-11,0.746626795,,2012-12-11,1.001772648
2011-11-28,0.077011491,,2012-12-12,0.746178555,,2012-12-12,1.001772648
2011-11-29,0.079225144,,2012-12-13,0.75249998,,2012-12-13,1.001772648
2011-11-30,0.122540451,,2012-12-14,0.756635382,,2012-12-14,1.001772648
2011-12-01,0.120631805,,2012-12-17,0.744764791,,2012-12-17,1.001772648
2011-12-02,0.120390819,,2012-12-18,0.733278134,,2012-12-18,1.001772648
2011-12-05,0.130677834,,2012-12-19,0.740867335,,2012-12-19,1.001772648
2011-12-06,0.131783583,,2012-12-20,0.735379226,,2012-12-20,1.001772648
2011-12-07,0.133801938,,2012-12-21,0.744757914,,2012-12-21,1.001772648
2011-12-08,0.112660128,,2012-12-24,0.74719821,,2012-12-24,1.001772648
2011-12-09,0.129543479,,2012-12-26,0.75198567,,2012-12-26,1.001772648
2011-12-12,0.114629426,,2012-12-27,0.753204112,,2012-12-27,1.001772648
2011-12-13,0.105943416,,2012-12-28,0.764254054,,2012-12-28,1.001772648
2011-12-14,0.094595048,,2012-12-31,0.747312113,,2012-12-31,1.001772648
2011-12-15,0.097838149,,2013-01-02,0.721908692,,2013-01-02,1.001772648
2011-12-16,0.101054299,,2013-01-03,0.72399431,,2013-01-03,1.001772648
2011-12-19,0.089321473,,2013-01-04,0.719129213,,2013-01-04,1.001772648
2011-12-20,0.119146896,,2013-01-07,0.722252329,,2013-01-07,1.001772648
2011-12-21,0.121096403,,2013-01-08,0.725494701,,2013-01-08,1.001772648
2011-12-22,0.129361952,,2013-01-09,0.722838835,,2013-01-09,1.001772648
2011-12-23,0.138397005,,2013-01-10,0.71524142,,2013-01-10,1.001772648
2011-12-27,0.138476113,,2013-01-11,0.715288934,,2013-01-11,1.001772648
2011-12-28,0.125998111,,2013-01-14,0.716219605,,2013-01-14,1.001772648
2011-12-29,0.136705198,,2013-01-15,0.715090935,,2013-01-15,1.001772648
2011-12-30,0.132413862,,2013-01-16,0.714893944,,2013-01-16,1.001772648
2012-01-03,0.147887847,,2013-01-17,0.709251022,,2013-01-17,1.001772648
2012-01-04,0.14807577,,2013-01-18,0.705847751,,2013-01-18,1.001772648
2012-01-05,0.151019487,,2013-01-22,0.701419644,,2013-01-22,1.001772648
2012-01-06,0.148482526,,2013-01-23,0.699912167,,2013-01-23,1.001772648
2012-01-09,0.150744123,,2013-01-24,0.699905553,,2013-01-24,1.001772648
2012-01-10,0.159629893,,2013-01-25,0.694460071,,2013-01-25,1.001772648
2012-01-11,0.15993949,,2013-01-28,0.696309692,,2013-01-28,1.001772648
2012-01-12,0.162276099,,2013-01-29,0.691203697,,2013-01-29,1.001772648
2012-01-13,0.157328176,,2013-01-30,0.695103318,,2013-01-30,1.001772648
2012-01-17,0.160881131,,2013-01-31,0.69766662,,2013-01-31,1.001772648
2012-01-18,0.17198906,,2013-02-01,0.687613914,,2013-02-01,1.001772648
2012-01-19,0.176927717,,2013-02-04,0.699152659,,2013-02-04,1.001772648
2012-01-20,0.177597176,,2013-02-05,0.688736149,,2013-02-05,1.001772648
2012-01-23,0.178068519,,2013-02-06,0.688186978,,2013-02-06,1.001772648
2012-01-24,0.177042702,,2013-02-07,0.689992377,,2013-02-07,1.001772648
2012-01-25,0.185721844,,2013-02-08,0.684334437,,2013-02-08,1.001772648
2012-01-26,0.179967953,,2013-02-11,0.684940554,,2013-02-11,1.001772648
2012-01-27,0.178375075,,2013-02-12,0.683345282,,2013-02-12,1.001772648
2012-01-30,0.175852953,,2013-02-13,0.682753019,,2013-02-13,1.001772648
2012-01-31,0.175396006,,2013-02-14,0.682062347,,2013-02-14,1.001772648
